Position	iRESk_prop_ind1	iRESk_prop_ind2	iRESk_prop_ind3	iRESk_prop_ind4	iRESk_prop_ind5	
632385.000000	NA	NA	NA	NA	NA	
632848.000000	NA	NA	NA	NA	NA	
632906.000000	NA	NA	NA	NA	NA	
638369.000000	NA	NA	NA	NA	NA	
641159.000000	NA	NA	NA	NA	NA	
643248.000000	NA	NA	NA	NA	NA	
682387.000000	NA	NA	NA	NA	NA	
686007.000000	NA	NA	NA	NA	NA	
689758.000000	NA	NA	NA	NA	NA	
690650.000000	NA	NA	NA	NA	NA	
695654.000000	NA	NA	NA	NA	NA	
696600.000000	0.000000	0.000000	0.000000	0.006531	0.000000	
707354.000000	NA	NA	NA	NA	NA	
707363.000000	NA	NA	NA	NA	NA	
756157.000000	NA	NA	NA	NA	NA	
781816.000000	NA	NA	NA	NA	NA	
796934.000000	NA	NA	NA	NA	NA	
801540.000000	NA	NA	NA	NA	NA	
807417.000000	0.017914	0.000000	0.017914	0.017914	0.000000	
844300.000000	NA	NA	NA	NA	NA	
932457.000000	NA	NA	NA	NA	NA	
1001048.000000	NA	NA	NA	NA	NA	
1080130.000000	NA	NA	NA	NA	NA	
1085682.000000	NA	NA	NA	NA	NA	
1092547.000000	NA	NA	NA	NA	NA	
1093869.000000	NA	NA	NA	NA	NA	
1101743.000000	NA	NA	NA	NA	NA	
1103544.000000	0.000000	0.000000	0.125209	0.000000	0.000000	
1105508.000000	NA	NA	NA	NA	NA	
1111293.000000	NA	NA	NA	NA	NA	
1114537.000000	NA	NA	NA	NA	NA	
1114691.000000	NA	NA	NA	NA	NA	
1115237.000000	NA	NA	NA	NA	NA	
1118750.000000	NA	NA	NA	NA	NA	
1128969.000000	NA	NA	NA	NA	NA	
1133796.000000	NA	NA	NA	NA	NA	
1142720.000000	NA	NA	NA	NA	NA	
1147111.000000	NA	NA	NA	NA	NA	
1147390.000000	NA	NA	NA	NA	NA	
1148660.000000	NA	NA	NA	NA	NA	
1148679.000000	NA	NA	NA	NA	NA	
1156927.000000	NA	NA	NA	NA	NA	
1159371.000000	NA	NA	NA	NA	NA	
1163385.000000	NA	NA	NA	NA	NA	
1164048.000000	NA	NA	NA	NA	NA	
1165063.000000	NA	NA	NA	NA	NA	
1177228.000000	0.000000	0.190909	0.000000	0.000000	0.000000	
1180061.000000	NA	NA	NA	NA	NA	
1184038.000000	NA	NA	NA	NA	NA	
1184962.000000	NA	NA	NA	NA	NA	
1185011.000000	NA	NA	NA	NA	NA	
1185329.000000	NA	NA	NA	NA	NA	
1185816.000000	NA	NA	NA	NA	NA	
1186731.000000	0.000000	0.500000	0.000000	0.000000	0.000000	
1187243.000000	NA	NA	NA	NA	NA	
1188116.000000	NA	NA	NA	NA	NA	
1193058.000000	NA	NA	NA	NA	NA	
1285133.000000	NA	NA	NA	NA	NA	
1323304.000000	NA	NA	NA	NA	NA	
1365829.000000	NA	NA	NA	NA	NA	
1365841.000000	NA	NA	NA	NA	NA	
1371640.000000	0.045870	0.000000	0.045870	0.000000	0.045870	
1375070.000000	NA	NA	NA	NA	NA	
1375942.000000	NA	NA	NA	NA	NA	
1380550.000000	NA	NA	NA	NA	NA	
1382368.000000	NA	NA	NA	NA	NA	
1383386.000000	NA	NA	NA	NA	NA	
1395611.000000	NA	NA	NA	NA	NA	
1396037.000000	NA	NA	NA	NA	NA	
1400245.000000	NA	NA	NA	NA	NA	
1402843.000000	NA	NA	NA	NA	NA	
1404930.000000	NA	NA	NA	NA	NA	
1408923.000000	NA	NA	NA	NA	NA	
1410773.000000	NA	NA	NA	NA	NA	
1411884.000000	NA	NA	NA	NA	NA	
1418873.000000	NA	NA	NA	NA	NA	
1421106.000000	NA	NA	NA	NA	NA	
1425389.000000	NA	NA	NA	NA	NA	
1426429.000000	NA	NA	NA	NA	NA	
1430738.000000	NA	NA	NA	NA	NA	
1431881.000000	NA	NA	NA	NA	NA	
1442756.000000	NA	NA	NA	NA	NA	
1448238.000000	NA	NA	NA	NA	NA	
1448949.000000	NA	NA	NA	NA	NA	
1448958.000000	NA	NA	NA	NA	NA	
1449063.000000	NA	NA	NA	NA	NA	
1449411.000000	NA	NA	NA	NA	NA	
1449639.000000	NA	NA	NA	NA	NA	
1449904.000000	NA	NA	NA	NA	NA	
1449975.000000	NA	NA	NA	NA	NA	
1450203.000000	NA	NA	NA	NA	NA	
1450364.000000	NA	NA	NA	NA	NA	
1450384.000000	NA	NA	NA	NA	NA	
1450644.000000	NA	NA	NA	NA	NA	
1451028.000000	NA	NA	NA	NA	NA	
1451400.000000	NA	NA	NA	NA	NA	
1452476.000000	NA	NA	NA	NA	NA	
1452559.000000	NA	NA	NA	NA	NA	
1452612.000000	NA	NA	NA	NA	NA	
1453142.000000	NA	NA	NA	NA	NA	
1453152.000000	NA	NA	NA	NA	NA	
1453238.000000	NA	NA	NA	NA	NA	
1453382.000000	NA	NA	NA	NA	NA	
1453770.000000	NA	NA	NA	NA	NA	
1453956.000000	NA	NA	NA	NA	NA	
1491266.000000	NA	NA	NA	NA	NA	
1492928.000000	NA	NA	NA	NA	NA	
1499611.000000	NA	NA	NA	NA	NA	
1503376.000000	NA	NA	NA	NA	NA	
1506649.000000	NA	NA	NA	NA	NA	
1512327.000000	NA	NA	NA	NA	NA	
1512535.000000	NA	NA	NA	NA	NA	
1515683.000000	NA	NA	NA	NA	NA	
1515987.000000	NA	NA	NA	NA	NA	
1516158.000000	NA	NA	NA	NA	NA	
1516390.000000	NA	NA	NA	NA	NA	
1518874.000000	NA	NA	NA	NA	NA	
1519395.000000	0.000000	0.000000	0.000000	0.007120	0.000000	
1519422.000000	NA	NA	NA	NA	NA	
1519540.000000	NA	NA	NA	NA	NA	
1524494.000000	NA	NA	NA	NA	NA	
1537866.000000	NA	NA	NA	NA	NA	
1538486.000000	0.000000	0.000000	0.000000	0.000000	0.013498	
1554964.000000	NA	NA	NA	NA	NA	
1594988.000000	0.000000	0.000000	0.000000	0.000000	0.012686	
1618595.000000	0.000000	0.000000	0.000000	0.000000	0.180603	
1645379.000000	0.000000	0.000000	0.000000	0.000000	0.254733	
1649436.000000	NA	NA	NA	NA	NA	
1661071.000000	0.000000	0.000000	0.000000	0.001122	0.000000	
1669474.000000	0.000000	0.000000	0.000000	0.029221	0.000000	
1671265.000000	0.000000	0.000000	0.000000	0.023197	0.000000	
1672101.000000	0.000000	0.000000	0.000000	0.052413	0.000000	
1700372.000000	NA	NA	NA	NA	NA	
1705315.000000	NA	NA	NA	NA	NA	
1724767.000000	NA	NA	NA	NA	NA	
1726256.000000	NA	NA	NA	NA	NA	
1732852.000000	NA	NA	NA	NA	NA	
1732881.000000	NA	NA	NA	NA	NA	
1733888.000000	NA	NA	NA	NA	NA	
1735416.000000	0.000000	0.388454	0.000000	0.000000	0.000000	
1736625.000000	NA	NA	NA	NA	NA	
1737579.000000	NA	NA	NA	NA	NA	
1740294.000000	NA	NA	NA	NA	NA	
1741983.000000	NA	NA	NA	NA	NA	
1743068.000000	NA	NA	NA	NA	NA	
1743306.000000	NA	NA	NA	NA	NA	
1744602.000000	NA	NA	NA	NA	NA	
1745356.000000	NA	NA	NA	NA	NA	
1745726.000000	NA	NA	NA	NA	NA	
1748043.000000	NA	NA	NA	NA	NA	
1748185.000000	NA	NA	NA	NA	NA	
1749077.000000	NA	NA	NA	NA	NA	
1749264.000000	NA	NA	NA	NA	NA	
1749836.000000	NA	NA	NA	NA	NA	
1750381.000000	NA	NA	NA	NA	NA	
1751231.000000	NA	NA	NA	NA	NA	
1751337.000000	NA	NA	NA	NA	NA	
1751654.000000	NA	NA	NA	NA	NA	
1752783.000000	NA	NA	NA	NA	NA	
1754864.000000	NA	NA	NA	NA	NA	
1755758.000000	NA	NA	NA	NA	NA	
1756908.000000	NA	NA	NA	NA	NA	
1756979.000000	NA	NA	NA	NA	NA	
1757004.000000	NA	NA	NA	NA	NA	
1757100.000000	0.000000	0.000000	0.000000	0.300453	0.000000	
1759024.000000	NA	NA	NA	NA	NA	
1759317.000000	NA	NA	NA	NA	NA	
1759334.000000	NA	NA	NA	NA	NA	
1765443.000000	NA	NA	NA	NA	NA	
1765465.000000	NA	NA	NA	NA	NA	
1766007.000000	NA	NA	NA	NA	NA	
1770850.000000	NA	NA	NA	NA	NA	
1770993.000000	NA	NA	NA	NA	NA	
1771366.000000	NA	NA	NA	NA	NA	
1771813.000000	NA	NA	NA	NA	NA	
1772326.000000	NA	NA	NA	NA	NA	
1772437.000000	NA	NA	NA	NA	NA	
1772464.000000	NA	NA	NA	NA	NA	
1775474.000000	NA	NA	NA	NA	NA	
1776679.000000	NA	NA	NA	NA	NA	
1777125.000000	NA	NA	NA	NA	NA	
1790096.000000	0.000000	0.000000	0.000000	0.000000	0.376623	
1826376.000000	NA	NA	NA	NA	NA	
1826824.000000	NA	NA	NA	NA	NA	
1871970.000000	0.002558	0.000000	0.000000	0.000000	0.000000	
1891222.000000	NA	NA	NA	NA	NA	
1891235.000000	NA	NA	NA	NA	NA	
1891238.000000	NA	NA	NA	NA	NA	
1891485.000000	NA	NA	NA	NA	NA	
1892363.000000	NA	NA	NA	NA	NA	
1892526.000000	NA	NA	NA	NA	NA	
1892552.000000	NA	NA	NA	NA	NA	
1892607.000000	NA	NA	NA	NA	NA	
1892688.000000	NA	NA	NA	NA	NA	
1892711.000000	NA	NA	NA	NA	NA	
1892720.000000	NA	NA	NA	NA	NA	
1896105.000000	NA	NA	NA	NA	NA	
1907123.000000	NA	NA	NA	NA	NA	
1920505.000000	NA	NA	NA	NA	NA	
1921489.000000	NA	NA	NA	NA	NA	
1935972.000000	NA	NA	NA	NA	NA	
1947610.000000	NA	NA	NA	NA	NA	
1952618.000000	NA	NA	NA	NA	NA	
1955679.000000	NA	NA	NA	NA	NA	
1959551.000000	0.000000	0.000000	0.125786	0.000000	0.000000	
1990398.000000	NA	NA	NA	NA	NA	
2005583.000000	NA	NA	NA	NA	NA	
2017967.000000	NA	NA	NA	NA	NA	
2040594.000000	NA	NA	NA	NA	NA	
2058193.000000	NA	NA	NA	NA	NA	
2059951.000000	NA	NA	NA	NA	NA	
2065344.000000	NA	NA	NA	NA	NA	
2076416.000000	0.105455	0.000000	0.000000	0.105455	0.105455	
2077538.000000	NA	NA	NA	NA	NA	
