Position	iESk_ind1	iESk_ind2	iESk_ind3	iESk_ind4	iESk_ind5	iESk_ind6	iESk_ind7	iESk_ind8	iESk_ind9	iESk_ind10	
59105.000000	5247.250000	10266.500000	0.000000	6034.583333	10095.500000	5561.250000	0.000000	0.000000	5507.833333	0.000000	
59324.000000	3148.350000	6159.900000	2702.300000	3620.750000	6057.300000	3336.750000	766.550000	12.250000	3304.700000	2726.450000	
59350.000000	3498.166667	6844.333333	3002.555556	4023.055556	6730.333333	3707.500000	851.722222	0.000000	3671.888889	3029.388889	
66868.000000	3148.350000	6159.900000	2702.300000	3620.750000	6057.300000	3336.750000	766.550000	2270.250000	3304.700000	2726.450000	
66892.000000	3498.166667	6844.333333	3002.555556	4023.055556	6730.333333	3707.500000	0.000000	2522.500000	3671.888889	3029.388889	
66930.000000	3148.350000	6159.900000	2702.300000	3620.750000	6057.300000	3336.750000	2.300000	2270.250000	3304.700000	2726.450000	
66938.000000	3498.166667	6844.333333	3002.555556	4023.055556	6730.333333	3707.500000	0.000000	2522.500000	3671.888889	3029.388889	
67135.000000	3498.166667	6844.333333	3002.555556	4023.055556	6730.333333	3707.500000	0.000000	2522.500000	3671.888889	3029.388889	
67156.000000	3498.166667	6844.333333	3002.555556	0.000000	6730.333333	3707.500000	164.055556	2522.500000	3671.888889	3029.388889	
67167.000000	3148.350000	6159.900000	2702.300000	2063.950000	6057.300000	3336.750000	147.650000	2270.250000	3304.700000	2726.450000	
70077.000000	3498.166667	6844.333333	3002.555556	2293.277778	6730.333333	3707.500000	0.000000	2522.500000	3671.888889	3029.388889	
70093.000000	3498.166667	6844.333333	3002.555556	2293.277778	6730.333333	3707.500000	0.000000	2522.500000	3671.888889	3029.388889	
70219.000000	3148.350000	6159.900000	2702.300000	2063.950000	6057.300000	3336.750000	117.850000	2270.250000	3304.700000	2726.450000	
70257.000000	3148.350000	6159.900000	2702.300000	2063.950000	6057.300000	3336.750000	117.850000	2270.250000	3304.700000	2726.450000	
71324.000000	3148.350000	6159.900000	2702.300000	2063.950000	6057.300000	3336.750000	117.850000	2270.250000	3304.700000	2726.450000	
71345.000000	3498.166667	6844.333333	3002.555556	2293.277778	6730.333333	3707.500000	0.000000	2522.500000	3671.888889	3029.388889	
71431.000000	3498.166667	6844.333333	3002.555556	2293.277778	6730.333333	3707.500000	0.000000	2522.500000	3671.888889	3029.388889	
73636.000000	3498.166667	6844.333333	3002.555556	2293.277778	6730.333333	3707.500000	0.000000	2522.500000	3671.888889	3029.388889	
75311.000000	3498.166667	6844.333333	3002.555556	2293.277778	6730.333333	3707.500000	0.000000	2522.500000	3671.888889	3029.388889	
75324.000000	3498.166667	6844.333333	3002.555556	2293.277778	6730.333333	3707.500000	0.000000	2522.500000	3671.888889	3029.388889	
76450.000000	3148.350000	6159.900000	2702.300000	2063.950000	6057.300000	3336.750000	992.450000	2270.250000	3304.700000	2726.450000	
76471.000000	3148.350000	6159.900000	2702.300000	2063.950000	6057.300000	3336.750000	992.450000	2270.250000	3304.700000	2726.450000	
76474.000000	3148.350000	6159.900000	2702.300000	2063.950000	6057.300000	3336.750000	992.450000	2270.250000	3304.700000	2726.450000	
85623.000000	3148.350000	6159.900000	2702.300000	2063.950000	6057.300000	3336.750000	992.450000	2270.250000	3304.700000	2726.450000	
86000.000000	3935.437500	7699.875000	3377.875000	2579.937500	7571.625000	4170.937500	0.000000	0.000000	4130.875000	3408.062500	
86475.000000	0.000000	7699.875000	0.000000	2579.937500	7571.625000	4170.937500	30.187500	31.062500	4130.875000	3408.062500	
86483.000000	0.000000	10266.500000	0.000000	3439.916667	10095.500000	5561.250000	0.000000	41.416667	5507.833333	0.000000	
86489.000000	0.000000	12319.800000	0.000000	4127.900000	12114.600000	6673.500000	0.000000	0.000000	6609.400000	0.000000	
86688.000000	0.000000	7699.875000	0.000000	2579.937500	7571.625000	4170.937500	148.750000	148.750000	4130.875000	151.562500	
86779.000000	106.750000	6159.900000	106.750000	2063.950000	6057.300000	3336.750000	119.000000	119.000000	3304.700000	121.250000	
87329.000000	118.611111	6844.333333	118.611111	2293.277778	0.000000	3707.500000	132.222222	132.222222	3671.888889	134.722222	
87756.000000	106.750000	6159.900000	106.750000	2063.950000	25.850000	3336.750000	119.000000	119.000000	3304.700000	121.250000	
87801.000000	133.437500	7699.875000	133.437500	2579.937500	32.312500	4170.937500	0.000000	0.000000	4130.875000	151.562500	
