Position	iES_BRG	iES_BRM	iES_CHCU	iES_CHCA	iES_CHFR	iES_TXL	log(iES_BRG)	log(iES_BRM)	log(iES_CHCU)	log(iES_CHCA)	log(iES_CHFR)	log(iES_TXL)	log_Rsb(BRG/BRM)	log_Rsb(BRG/CHCU)	log_Rsb(BRG/CHCA)	log_Rsb(BRG/CHFR)	log_Rsb(BRG/TXL)	log_Rsb(BRM/CHCU)	log_Rsb(BRM/CHCA)	log_Rsb(BRM/CHFR)	log_Rsb(BRM/TXL)	log_Rsb(CHCU/CHCA)	log_Rsb(CHCU/CHFR)	log_Rsb(CHCU/TXL)	log_Rsb(CHCA/CHFR)	log_Rsb(CHCA/TXL)	log_Rsb(CHFR/TXL)	log_RsbN(BRG/BRM)	log_RsbN(BRG/CHCU)	log_RsbN(BRG/CHCA)	log_RsbN(BRG/CHFR)	log_RsbN(BRG/TXL)	log_RsbN(BRM/CHCU)	log_RsbN(BRM/CHCA)	log_RsbN(BRM/CHFR)	log_RsbN(BRM/TXL)	log_RsbN(CHCU/CHCA)	log_RsbN(CHCU/CHFR)	log_RsbN(CHCU/TXL)	log_RsbN(CHCA/CHFR)	log_RsbN(CHCA/TXL)	log_RsbN(CHFR/TXL)	
28389.000000	18875.777778	28768.200000	34244.875000	30589.266667	61087.000000	NA	9.845635	10.267026	10.441292	10.328404	11.020054	NA	-0.421391	-0.595657	-0.482770	-1.174420	NA	-0.174266	-0.061379	-0.753028	NA	0.112888	-0.578762	NA	-0.691650	NA	NA	-0.150756	-0.817979	-0.637117	-0.333937	NA	-0.904710	-0.456343	-0.229158	NA	0.351784	-0.119904	NA	-0.190119	NA	NA	
28423.000000	16994.900000	28768.200000	34244.875000	30589.266667	61087.000000	NA	9.740669	10.267026	10.441292	10.328404	11.020054	NA	-0.526357	-0.700624	-0.587736	-1.279386	NA	-0.174266	-0.061379	-0.753028	NA	0.112888	-0.578762	NA	-0.691650	NA	NA	-0.510752	-1.137981	-1.062705	-0.405961	NA	-0.904710	-0.456343	-0.229158	NA	0.351784	-0.119904	NA	-0.190119	NA	NA	
28449.000000	16994.900000	28768.200000	34244.875000	31688.285714	61087.000000	NA	9.740669	10.267026	10.441292	10.363702	11.020054	NA	-0.526357	-0.700624	-0.623034	-1.279386	NA	-0.174266	-0.096676	-0.753028	NA	0.077590	-0.578762	NA	-0.656352	NA	NA	-0.510752	-1.137981	-1.205821	-0.405961	NA	-0.904710	-0.596194	-0.229158	NA	0.200939	-0.119904	NA	-0.163548	NA	NA	
28467.000000	16994.900000	28768.200000	34244.875000	30152.966667	61087.000000	NA	9.740669	10.267026	10.441292	10.314039	11.020054	NA	-0.526357	-0.700624	-0.573370	-1.279386	NA	-0.174266	-0.047013	-0.753028	NA	0.127254	-0.578762	NA	-0.706016	NA	NA	-0.510752	-1.137981	-1.004458	-0.405961	NA	-0.904710	-0.399425	-0.229158	NA	0.413176	-0.119904	NA	-0.200934	NA	NA	
28479.000000	24061.428571	34926.166667	37292.045455	32254.892857	61087.000000	NA	10.088365	10.460992	10.526535	10.381425	11.020054	NA	-0.372626	-0.438170	-0.293060	-0.931689	NA	-0.065544	0.079567	-0.559063	NA	0.145110	-0.493519	NA	-0.638629	NA	NA	0.016490	-0.337860	0.132067	-0.167386	NA	-0.351381	0.102087	-0.096930	NA	0.489487	-0.058329	NA	-0.150207	NA	NA	
28492.000000	17195.500000	28650.300000	34442.000000	30310.666667	61087.000000	NA	9.752403	10.262919	10.447032	10.319255	11.020054	NA	-0.510516	-0.694629	-0.566852	-1.267651	NA	-0.184113	-0.056336	-0.757135	NA	0.127777	-0.573022	NA	-0.700799	NA	NA	-0.456422	-1.119706	-0.978030	-0.397909	NA	-0.954823	-0.436363	-0.231957	NA	0.415413	-0.115758	NA	-0.197007	NA	NA	
30829.000000	37000.875000	38024.136364	34442.000000	34503.230769	61087.000000	NA	10.518697	10.545976	10.447032	10.448808	11.020054	NA	-0.027280	0.071665	0.069889	-0.501358	NA	0.098944	0.097168	-0.474078	NA	-0.001776	-0.573022	NA	-0.571246	NA	NA	1.200902	1.216433	1.603650	0.127890	NA	0.485761	0.171825	-0.038995	NA	-0.138231	-0.115758	NA	-0.099482	NA	NA	
31047.000000	36331.800000	33782.066667	34442.000000	35440.800000	61087.000000	NA	10.500449	10.427685	10.447032	10.475619	11.020054	NA	0.072763	0.053417	0.024830	-0.519606	NA	-0.019347	-0.047934	-0.592369	NA	-0.028587	-0.573022	NA	-0.544435	NA	NA	1.544012	1.160801	1.420957	0.115369	NA	-0.116267	-0.403073	-0.119635	NA	-0.252806	-0.115758	NA	-0.079300	NA	NA	
31060.000000	23139.875000	38772.884615	34442.000000	37736.107143	61087.000000	NA	10.049313	10.565476	10.447032	10.538373	11.020054	NA	-0.516164	-0.397719	-0.489060	-0.970742	NA	0.118444	0.027104	-0.454578	NA	-0.091341	-0.573022	NA	-0.481682	NA	NA	-0.475792	-0.214541	-0.662621	-0.194182	NA	0.585003	-0.105772	-0.025702	NA	-0.520983	-0.115758	NA	-0.032061	NA	NA	
31100.000000	23139.875000	38772.884615	34442.000000	37736.107143	61087.000000	NA	10.049313	10.565476	10.447032	10.538373	11.020054	NA	-0.516164	-0.397719	-0.489060	-0.970742	NA	0.118444	0.027104	-0.454578	NA	-0.091341	-0.573022	NA	-0.481682	NA	NA	-0.475792	-0.214541	-0.662621	-0.194182	NA	0.585003	-0.105772	-0.025702	NA	-0.520983	-0.115758	NA	-0.032061	NA	NA	
31516.000000	19320.000000	34562.700000	34442.000000	35238.300000	61087.000000	NA	9.868896	10.450530	10.447032	10.469889	11.020054	NA	-0.581634	-0.578136	-0.600993	-1.151158	NA	0.003498	-0.019358	-0.569524	NA	-0.022857	-0.573022	NA	-0.550166	NA	NA	-0.700331	-0.764563	-1.116455	-0.317976	NA	0.000000	-0.289858	-0.104061	NA	-0.228319	-0.115758	NA	-0.083614	NA	NA	
31566.000000	19320.000000	34562.700000	34442.000000	35238.300000	61087.000000	NA	9.868896	10.450530	10.447032	10.469889	11.020054	NA	-0.581634	-0.578136	-0.600993	-1.151158	NA	0.003498	-0.019358	-0.569524	NA	-0.022857	-0.573022	NA	-0.550166	NA	NA	-0.700331	-0.764563	-1.116455	-0.317976	NA	0.000000	-0.289858	-0.104061	NA	-0.228319	-0.115758	NA	-0.083614	NA	NA	
31567.000000	19320.000000	34562.700000	34442.000000	35238.300000	61087.000000	NA	9.868896	10.450530	10.447032	10.469889	11.020054	NA	-0.581634	-0.578136	-0.600993	-1.151158	NA	0.003498	-0.019358	-0.569524	NA	-0.022857	-0.573022	NA	-0.550166	NA	NA	-0.700331	-0.764563	-1.116455	-0.317976	NA	0.000000	-0.289858	-0.104061	NA	-0.228319	-0.115758	NA	-0.083614	NA	NA	
31569.000000	19320.000000	34562.700000	34442.000000	35238.300000	61087.000000	NA	9.868896	10.450530	10.447032	10.469889	11.020054	NA	-0.581634	-0.578136	-0.600993	-1.151158	NA	0.003498	-0.019358	-0.569524	NA	-0.022857	-0.573022	NA	-0.550166	NA	NA	-0.700331	-0.764563	-1.116455	-0.317976	NA	0.000000	-0.289858	-0.104061	NA	-0.228319	-0.115758	NA	-0.083614	NA	NA	
31585.000000	27359.142857	36810.642857	37292.045455	40401.076923	61087.000000	NA	10.216806	10.513542	10.526535	10.606612	11.020054	NA	-0.296736	-0.309729	-0.389806	-0.803248	NA	-0.012993	-0.093069	-0.506512	NA	-0.080076	-0.493519	NA	-0.413443	NA	NA	0.276764	0.053707	-0.260192	-0.079255	NA	-0.083931	-0.581903	-0.061106	NA	-0.472846	-0.058329	NA	0.019308	NA	NA	
35348.000000	23659.833333	42350.791667	40700.650000	36367.733333	61087.000000	NA	10.071534	10.653742	10.613999	10.501437	11.020054	NA	-0.582208	-0.542465	-0.429903	-0.948520	NA	0.039743	0.152305	-0.366312	NA	0.112562	-0.406055	NA	-0.518617	NA	NA	-0.702300	-0.655817	-0.422768	-0.178935	NA	0.184463	0.390280	0.034470	NA	0.350392	0.004850	NA	-0.059865	NA	NA	
35349.000000	25715.875000	35954.266667	34005.375000	36367.733333	61087.000000	NA	10.154864	10.490003	10.434274	10.501437	11.020054	NA	-0.335139	-0.279410	-0.346573	-0.865191	NA	0.055729	-0.011434	-0.530051	NA	-0.067163	-0.585780	NA	-0.518617	NA	NA	0.145056	0.146139	-0.084906	-0.121757	NA	0.265822	-0.258461	-0.077152	NA	-0.417662	-0.124974	NA	-0.059865	NA	NA	
37087.000000	24389.611111	38145.285714	34005.375000	36367.733333	61087.000000	NA	10.101913	10.549157	10.434274	10.501437	11.020054	NA	-0.447245	-0.332361	-0.399525	-0.918142	NA	0.114884	0.047720	-0.470897	NA	-0.067163	-0.585780	NA	-0.518617	NA	NA	-0.239425	-0.015289	-0.299598	-0.158090	NA	0.566881	-0.024089	-0.036826	NA	-0.417662	-0.124974	NA	-0.059865	NA	NA	
37092.000000	24389.611111	38145.285714	34005.375000	36367.733333	61087.000000	NA	10.101913	10.549157	10.434274	10.501437	11.020054	NA	-0.447245	-0.332361	-0.399525	-0.918142	NA	0.114884	0.047720	-0.470897	NA	-0.067163	-0.585780	NA	-0.518617	NA	NA	-0.239425	-0.015289	-0.299598	-0.158090	NA	0.566881	-0.024089	-0.036826	NA	-0.417662	-0.124974	NA	-0.059865	NA	NA	
37096.000000	24389.611111	38145.285714	34005.375000	36367.733333	61087.000000	NA	10.101913	10.549157	10.434274	10.501437	11.020054	NA	-0.447245	-0.332361	-0.399525	-0.918142	NA	0.114884	0.047720	-0.470897	NA	-0.067163	-0.585780	NA	-0.518617	NA	NA	-0.239425	-0.015289	-0.299598	-0.158090	NA	0.566881	-0.024089	-0.036826	NA	-0.417662	-0.124974	NA	-0.059865	NA	NA	
37137.000000	21954.200000	41183.692308	45487.062500	43390.000000	61087.000000	NA	9.996714	10.625798	10.725183	10.677984	11.020054	NA	-0.629084	-0.728469	-0.681271	-1.023341	NA	-0.099386	-0.052187	-0.394257	NA	0.047199	-0.294871	NA	-0.342070	NA	NA	-0.863066	-1.222873	-1.441943	-0.230273	NA	-0.523614	-0.419924	0.015420	NA	0.071064	0.085163	NA	0.073036	NA	NA	
37167.000000	27597.214286	45150.464286	50244.100000	41501.000000	61087.000000	NA	10.225470	10.717756	10.824648	10.633473	11.020054	NA	-0.492286	-0.599178	-0.408003	-0.794584	NA	-0.106893	0.084283	-0.302299	NA	0.191176	-0.195406	NA	-0.386582	NA	NA	-0.393899	-0.828713	-0.333972	-0.073310	NA	-0.561820	0.120774	0.078108	NA	0.686346	0.157011	NA	0.039528	NA	NA	
49918.000000	35130.800000	44737.750000	41986.541667	39164.700000	61087.000000	NA	10.466834	10.708573	10.645104	10.575531	11.020054	NA	-0.241739	-0.178271	-0.108698	-0.553221	NA	0.063469	0.133042	-0.311481	NA	0.069573	-0.374950	NA	-0.444523	NA	NA	0.465383	0.454474	0.879568	0.092304	NA	0.305211	0.313958	0.071848	NA	0.166680	0.027319	NA	-0.004089	NA	NA	
49921.000000	20559.111111	41766.133333	41986.541667	39164.700000	61087.000000	NA	9.931059	10.639841	10.645104	10.575531	11.020054	NA	-0.708782	-0.714045	-0.644472	-1.088995	NA	-0.005263	0.064310	-0.380213	NA	0.069573	-0.374950	NA	-0.444523	NA	NA	-1.136400	-1.178898	-1.292741	-0.275323	NA	-0.044591	0.041640	0.024993	NA	0.166680	0.027319	NA	-0.004089	NA	NA	
50077.000000	26085.214286	49227.875000	45216.545455	41501.000000	61087.000000	NA	10.169124	10.804215	10.719218	10.633473	11.020054	NA	-0.635091	-0.550094	-0.464349	-0.850930	NA	0.084997	0.170743	-0.215839	NA	0.085746	-0.300836	NA	-0.386582	NA	NA	-0.883670	-0.679075	-0.562429	-0.111972	NA	0.414777	0.463329	0.137049	NA	0.235792	0.080854	NA	0.039528	NA	NA	
50089.000000	19257.400000	49570.708333	41682.958333	40619.642857	61087.000000	NA	9.865651	10.811155	10.637848	10.612007	11.020054	NA	-0.945505	-0.772197	-0.746356	-1.154404	NA	0.173308	0.199148	-0.208899	NA	0.025841	-0.382207	NA	-0.408047	NA	NA	-1.948274	-1.356181	-1.705835	-0.320203	NA	0.864223	0.575874	0.141780	NA	-0.020211	0.022077	NA	0.023370	NA	NA	
51708.000000	19257.400000	40262.600000	43274.454545	38153.700000	61087.000000	NA	9.865651	10.603178	10.675318	10.549378	11.020054	NA	-0.737528	-0.809667	-0.683727	-1.154404	NA	-0.072139	0.053800	-0.416876	NA	0.125940	-0.344737	NA	-0.470676	NA	NA	-1.234988	-1.470414	-1.451904	-0.320203	NA	-0.384949	0.000000	0.000000	NA	0.407562	0.049143	NA	-0.023776	NA	NA	
51765.000000	19257.400000	40262.600000	43274.454545	38153.700000	61087.000000	NA	9.865651	10.603178	10.675318	10.549378	11.020054	NA	-0.737528	-0.809667	-0.683727	-1.154404	NA	-0.072139	0.053800	-0.416876	NA	0.125940	-0.344737	NA	-0.470676	NA	NA	-1.234988	-1.470414	-1.451904	-0.320203	NA	-0.384949	0.000000	0.000000	NA	0.407562	0.049143	NA	-0.023776	NA	NA	
51769.000000	19257.400000	40262.600000	43274.454545	38153.700000	61087.000000	NA	9.865651	10.603178	10.675318	10.549378	11.020054	NA	-0.737528	-0.809667	-0.683727	-1.154404	NA	-0.072139	0.053800	-0.416876	NA	0.125940	-0.344737	NA	-0.470676	NA	NA	-1.234988	-1.470414	-1.451904	-0.320203	NA	-0.384949	0.000000	0.000000	NA	0.407562	0.049143	NA	-0.023776	NA	NA	
51773.000000	19257.400000	40262.600000	39668.541667	39089.178571	61087.000000	NA	9.865651	10.603178	10.588314	10.573601	11.020054	NA	-0.737528	-0.722663	-0.707950	-1.154404	NA	0.014865	0.029577	-0.416876	NA	0.014713	-0.431741	NA	-0.446453	NA	NA	-1.234988	-1.205171	-1.550117	-0.320203	NA	0.057847	-0.095972	0.000000	NA	-0.067765	-0.013704	NA	-0.005542	NA	NA	
51776.000000	19257.400000	40262.600000	43274.454545	38885.000000	61087.000000	NA	9.865651	10.603178	10.675318	10.568364	11.020054	NA	-0.737528	-0.809667	-0.702713	-1.154404	NA	-0.072139	0.034814	-0.416876	NA	0.106954	-0.344737	NA	-0.451691	NA	NA	-1.234988	-1.470414	-1.528883	-0.320203	NA	-0.384949	-0.075223	0.000000	NA	0.326426	0.049143	NA	-0.009484	NA	NA	
54017.000000	23368.375000	42995.785714	49251.350000	38885.000000	61087.000000	NA	10.059139	10.668857	10.804692	10.568364	11.020054	NA	-0.609718	-0.745553	-0.509225	-0.960915	NA	-0.135835	0.100494	-0.351197	NA	0.236328	-0.215362	NA	-0.451691	NA	NA	-0.796650	-1.274955	-0.744380	-0.187440	NA	-0.709117	0.185000	0.044774	NA	0.879305	0.142596	NA	-0.009484	NA	NA	
54341.000000	20347.777778	40141.500000	40193.916667	38885.000000	61087.000000	NA	9.920727	10.600166	10.601471	10.568364	11.020054	NA	-0.679439	-0.680744	-0.647637	-1.099327	NA	-0.001305	0.031802	-0.419888	NA	0.033107	-0.418583	NA	-0.451691	NA	NA	-1.035766	-1.077376	-1.305575	-0.282412	NA	-0.024446	-0.087157	-0.002053	NA	0.010842	-0.004200	NA	-0.009484	NA	NA	
54380.000000	24588.214286	49516.791667	43831.409091	41356.964286	61087.000000	NA	10.110023	10.810067	10.688106	10.629996	11.020054	NA	-0.700045	-0.578083	-0.519974	-0.910032	NA	0.121961	0.180071	-0.209987	NA	0.058110	-0.331948	NA	-0.390058	NA	NA	-1.106435	-0.764403	-0.787961	-0.152525	NA	0.602902	0.500289	0.141038	NA	0.117691	0.058380	NA	0.036911	NA	NA	
54487.000000	22691.555556	39825.766667	40428.291667	38799.433333	61087.000000	NA	10.029748	10.592269	10.607285	10.566161	11.020054	NA	-0.562521	-0.577537	-0.536413	-0.990306	NA	-0.015016	0.026108	-0.427785	NA	0.041124	-0.412769	NA	-0.453893	NA	NA	-0.634781	-0.762737	-0.854614	-0.207606	NA	-0.094225	-0.109716	-0.007437	NA	0.045103	0.000000	NA	-0.011142	NA	NA	
54571.000000	38948.200000	49463.750000	40428.291667	41311.500000	61087.000000	NA	10.569988	10.808995	10.607285	10.628896	11.020054	NA	-0.239008	-0.037297	-0.058908	-0.450067	NA	0.201710	0.180099	-0.211059	NA	-0.021611	-0.412769	NA	-0.391158	NA	NA	0.474753	0.884249	1.081439	0.163084	NA	1.008774	0.500401	0.140307	NA	-0.222995	0.000000	NA	0.036083	NA	NA	
54937.000000	26257.400000	39609.100000	40428.291667	41795.961538	61087.000000	NA	10.175703	10.586814	10.607285	10.640555	11.020054	NA	-0.411111	-0.431582	-0.464852	-0.844351	NA	-0.020471	-0.053741	-0.433240	NA	-0.033270	-0.412769	NA	-0.379499	NA	NA	-0.115499	-0.317775	-0.564468	-0.107458	NA	-0.121988	-0.426082	-0.011156	NA	-0.272819	0.000000	NA	0.044860	NA	NA	
54952.000000	26257.400000	49463.750000	40428.291667	39334.642857	61087.000000	NA	10.175703	10.808995	10.607285	10.579861	11.020054	NA	-0.633292	-0.431582	-0.404158	-0.844351	NA	0.201710	0.229134	-0.211059	NA	0.027424	-0.412769	NA	-0.440193	NA	NA	-0.877499	-0.317775	-0.318383	-0.107458	NA	1.008774	0.694680	0.140307	NA	-0.013443	0.000000	NA	-0.000829	NA	NA	
55097.000000	29144.833333	40104.700000	40428.291667	36952.400000	61087.000000	NA	10.280033	10.599249	10.607285	10.517386	11.020054	NA	-0.319216	-0.327252	-0.237353	-0.740021	NA	-0.008036	0.081863	-0.420806	NA	0.089899	-0.412769	NA	-0.502668	NA	NA	0.199667	0.000287	0.357932	-0.035871	NA	-0.058704	0.111185	-0.002679	NA	0.253543	0.000000	NA	-0.047859	NA	NA	
55128.000000	32743.125000	40104.700000	40428.291667	36952.400000	61087.000000	NA	10.396448	10.599249	10.607285	10.517386	11.020054	NA	-0.202801	-0.210837	-0.120938	-0.623606	NA	-0.008036	0.081863	-0.420806	NA	0.089899	-0.412769	NA	-0.502668	NA	NA	0.598930	0.355193	0.829940	0.044008	NA	-0.058704	0.111185	-0.002679	NA	0.253543	0.000000	NA	-0.047859	NA	NA	
56327.000000	29427.000000	40104.700000	40428.291667	36952.400000	61087.000000	NA	10.289668	10.599249	10.607285	10.517386	11.020054	NA	-0.309581	-0.317617	-0.227718	-0.730386	NA	-0.008036	0.081863	-0.420806	NA	0.089899	-0.412769	NA	-0.502668	NA	NA	0.232712	0.029660	0.396997	-0.029260	NA	-0.058704	0.111185	-0.002679	NA	0.253543	0.000000	NA	-0.047859	NA	NA	
57019.000000	29427.000000	40104.700000	40428.291667	36952.400000	61087.000000	NA	10.289668	10.599249	10.607285	10.517386	11.020054	NA	-0.309581	-0.317617	-0.227718	-0.730386	NA	-0.008036	0.081863	-0.420806	NA	0.089899	-0.412769	NA	-0.502668	NA	NA	0.232712	0.029660	0.396997	-0.029260	NA	-0.058704	0.111185	-0.002679	NA	0.253543	0.000000	NA	-0.047859	NA	NA	
57836.000000	32546.687500	49480.875000	43831.409091	39378.000000	61087.000000	NA	10.390431	10.809342	10.688106	10.580963	11.020054	NA	-0.418911	-0.297675	-0.190532	-0.629623	NA	0.121236	0.228379	-0.210713	NA	0.107143	-0.331948	NA	-0.439092	NA	NA	-0.142249	0.090456	0.547769	0.039879	NA	0.599209	0.691687	0.140543	NA	0.327235	0.058380	NA	0.000000	NA	NA	
57847.000000	26113.850000	39737.100000	40210.666667	36778.300000	61087.000000	NA	10.170221	10.590041	10.601888	10.512663	11.020054	NA	-0.419819	-0.431666	-0.342442	-0.849833	NA	-0.011847	0.077377	-0.430014	NA	0.089224	-0.418167	NA	-0.507391	NA	NA	-0.145366	-0.318033	-0.068155	-0.111220	NA	-0.078098	0.093413	-0.008956	NA	0.250659	-0.003899	NA	-0.051414	NA	NA	
