Position	iESd_BRG	iESa_BRG	iESd_BRM	iESa_BRM	iESd_CHCU	iESa_CHCU	iESd_CHCA	iESa_CHCA	iESd_CHFR	iESa_CHFR	iESd_TXL	iESa_TXL	log(iESd_BRG)	log(iESa_BRG)	log(iESd_BRM)	log(iESa_BRM)	log(iESd_CHCU)	log(iESa_CHCU)	log(iESd_CHCA)	log(iESa_CHCA)	log(iESd_CHFR)	log(iESa_CHFR)	log(iESd_TXL)	log(iESa_TXL)	log_iRESda(BRG)	log_iRESda(BRM)	log_iRESda(CHCU)	log_iRESda(CHCA)	log_iRESda(CHFR)	log_iRESda(TXL)	log_iRESdaN(BRG)	log_iRESdaN(BRM)	log_iRESdaN(CHCU)	log_iRESdaN(CHCA)	log_iRESdaN(CHFR)	log_iRESdaN(TXL)	
26248.000000	-1	-1	-1	-1	-1	-1	250.500000	9153.142857	250.500000	50542.166667	-1	-1	-1	-1	-1	-1	-1	-1	5.523459	9.121853	5.523459	10.830563	-1	-1	-1	-1	-1	-3.598394	-5.307104	-1	-1	-1	-1	-0.341074	-1.783535	-1	
26714.000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
26730.000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
26753.000000	-1	-1	1005.500000	829.250000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	6.913240	6.720522	-1	-1	-1	-1	-1	-1	-1	-1	-1	0.192719	-1	-1	-1	-1	-1	0.128594	-1	-1	-1	-1	
27025.000000	-1	-1	1005.500000	829.250000	176.000000	38088.681818	176.000000	24860.055556	-1	-1	-1	-1	-1	-1	6.913240	6.720522	5.170484	10.547672	5.170484	10.121018	-1	-1	-1	-1	-1	0.192719	-5.377188	-4.950534	-1	-1	-1	0.128594	-2.075221	-1.127542	-1	-1	
27105.000000	-1	-1	897.666667	1848.000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	6.799799	7.521859	-1	-1	-1	-1	-1	-1	-1	-1	-1	-0.722060	-1	-1	-1	-1	-1	-0.481806	-1	-1	-1	-1	
28389.000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
28423.000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
28449.000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
28467.000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
28479.000000	-1	-1	12.500000	1130.750000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2.525729	7.030636	-1	-1	-1	-1	-1	-1	-1	-1	-1	-4.504908	-1	-1	-1	-1	-1	-3.005970	-1	-1	-1	-1	
28492.000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
30829.000000	1277.500000	60166.750000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	7.152660	11.004875	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-3.852215	-1	-1	-1	-1	-1	-2.316416	-1	-1	-1	-1	-1	
31047.000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
31060.000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
31100.000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
31516.000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
31566.000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
31567.000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
31569.000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
31585.000000	-1	-1	2158.357143	4302.000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	7.677103	8.366835	-1	-1	-1	-1	-1	-1	-1	-1	-1	-0.689733	-1	-1	-1	-1	-1	-0.460235	-1	-1	-1	-1	
35348.000000	-1	-1	3771.500000	3267.200000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8.235228	8.091689	-1	-1	-1	-1	-1	-1	-1	-1	-1	0.143539	-1	-1	-1	-1	-1	0.095779	-1	-1	-1	-1	
35349.000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
37087.000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
37092.000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
37096.000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
37137.000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
37167.000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
49918.000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
49921.000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
50077.000000	-1	-1	84.000000	14454.000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4.430817	9.578726	-1	-1	-1	-1	-1	-1	-1	-1	-1	-5.147910	-1	-1	-1	-1	-1	-3.435023	-1	-1	-1	-1	
50089.000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
51708.000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
51765.000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
51769.000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
51773.000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
51776.000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
54017.000000	-1	-1	1282.500000	10481.857143	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	7.156567	9.257401	-1	-1	-1	-1	-1	-1	-1	-1	-1	-2.100835	-1	-1	-1	-1	-1	-1.401815	-1	-1	-1	-1	
54341.000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
54380.000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
54487.000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
54571.000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
54937.000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
54952.000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
55097.000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
55128.000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
56327.000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
57019.000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
57836.000000	-1	-1	414.000000	21051.250000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	6.025866	9.954715	-1	-1	-1	-1	-1	-1	-1	-1	-1	-3.928849	-1	-1	-1	-1	-1	-2.621586	-1	-1	-1	-1	
57847.000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
58601.000000	-1	-1	479.500000	14342.916667	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	6.172744	9.571011	-1	-1	-1	-1	-1	-1	-1	-1	-1	-3.398268	-1	-1	-1	-1	-1	-2.267547	-1	-1	-1	-1	
58650.000000	-1	-1	193.833333	27059.166667	51.000000	56260.818182	-1	-1	51.000000	50275.807692	-1	-1	-1	-1	5.266999	10.205781	3.931826	10.937754	-1	-1	3.931826	10.825279	-1	-1	-1	-4.938782	-7.005928	-1	-6.893454	-1	-1	-3.295480	-3.170470	-1	-2.802072	-1	
58703.000000	-1	-1	479.500000	16246.300000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	6.172744	9.695620	-1	-1	-1	-1	-1	-1	-1	-1	-1	-3.522877	-1	-1	-1	-1	-1	-2.350695	-1	-1	-1	-1	
58704.000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
58713.000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
58718.000000	-1	-1	194.500000	13692.500000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5.270432	9.524604	-1	-1	-1	-1	-1	-1	-1	-1	-1	-4.254171	-1	-1	-1	-1	-1	-2.838663	-1	-1	-1	-1	
59102.000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
59105.000000	-1	-1	111.000000	28102.666667	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4.709530	10.243620	-1	-1	-1	-1	-1	-1	-1	-1	-1	-5.534090	-1	-1	-1	-1	-1	-3.692708	-1	-1	-1	-1	
59324.000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
59350.000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
66868.000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
66892.000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
66930.000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
66938.000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
67135.000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
67156.000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
67167.000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
70077.000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
70093.000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
70219.000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
70257.000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
71324.000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
71345.000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
71431.000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
73636.000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
75311.000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
75324.000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
76450.000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
76471.000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
76474.000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
85623.000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
86000.000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
86475.000000	241.500000	40900.250000	-1	-1	241.500000	49322.000000	-1	-1	241.500000	28061.000000	-1	-1	5.486869	10.618891	-1	-1	5.486869	10.806126	-1	-1	5.486869	10.242136	-1	-1	-5.132022	-1	-5.319256	-1	-4.755267	-1	-3.085990	-1	-2.036265	-1	-1.429219	-1	
86483.000000	-1	-1	213.000000	83.875000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5.361292	4.429328	-1	-1	-1	-1	-1	-1	-1	-1	-1	0.931965	-1	-1	-1	-1	-1	0.621868	-1	-1	-1	-1	
86489.000000	-1	-1	213.000000	109.500000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5.361292	4.695925	-1	-1	-1	-1	-1	-1	-1	-1	-1	0.665368	-1	-1	-1	-1	-1	0.443977	-1	-1	-1	-1	
86688.000000	145.000000	40900.250000	-1	-1	45.500000	1934.000000	-1	-1	145.000000	28061.000000	-1	-1	4.976734	10.618891	-1	-1	3.817712	7.567346	-1	-1	4.976734	10.242136	-1	-1	-5.642158	-1	-3.749633	-1	-5.265402	-1	-3.392745	-1	-0.980769	-1	-1.756759	-1	
86779.000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
87329.000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
87756.000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
87801.000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
87899.000000	-1	-1	649.500000	1404.333333	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	6.476203	7.247318	-1	-1	-1	-1	-1	-1	-1	-1	-1	-0.771115	-1	-1	-1	-1	-1	-0.514539	-1	-1	-1	-1	
88400.000000	-1	-1	649.500000	1404.333333	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	6.476203	7.247318	-1	-1	-1	-1	-1	-1	-1	-1	-1	-0.771115	-1	-1	-1	-1	-1	-0.514539	-1	-1	-1	-1	
88599.000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
88622.000000	-1	-1	34.500000	633.500000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3.540959	6.451260	-1	-1	-1	-1	-1	-1	-1	-1	-1	-2.910301	-1	-1	-1	-1	-1	-1.941944	-1	-1	-1	-1	
88645.000000	323.000000	9816.000000	-1	-1	-1	-1	-1	-1	323.000000	1257.000000	-1	-1	5.777652	9.191769	-1	-1	-1	-1	-1	-1	5.777652	7.136483	-1	-1	-3.414117	-1	-1	-1	-1.358831	-1	-2.052978	-1	-1	-1	0.751509	-1	
88900.000000	323.000000	4963.875000	311.500000	493.400000	311.500000	430.500000	269.000000	451.250000	323.000000	959.500000	-1	-1	5.777652	8.509942	5.741399	6.201320	5.741399	6.064947	5.594711	6.112022	5.777652	6.866412	-1	-1	-2.732290	-0.459921	-0.323548	-0.517310	-1.088760	-1	-1.642982	-0.306889	1.323108	1.451030	0.924912	-1	
89013.000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
89168.000000	172.000000	4963.875000	172.000000	407.900000	172.000000	528.000000	172.000000	457.000000	172.000000	457.000000	-1	-1	5.147494	8.509942	5.147494	6.011022	5.147494	6.269096	5.147494	6.124683	5.147494	6.124683	-1	-1	-3.362447	-0.863528	-1.121602	-0.977189	-0.977189	-1	-2.021909	-0.576202	0.786455	1.183543	0.996547	-1	
